CFK_calculation_rule_condition_fragment_condition_id,calculation_rule_condition_fragment,condition_id,calculation_rule_condition,condition_id
FK_Bank_Code,cash_drawer,cmi_bank_code,cmi_bank,code
CFK_cc_fee_cc_type,cc_fee,cc_type,cc_type,cc_type
CFK_ccProperty_mobile_assignment_group_id,ccProperty,mobile_assignment_group_id,mobile_assignment_group,mobile_assignment_group_id
CFK_chg_log_trans_selection_fields_lChangeLogTransSelectID,chg_log_trans_selection_fields,lChangeLogTransSelectID,chg_log_trans_selection,lChangeLogTransSelectID
CFK_chg_of_owner_deed_type_cd,chg_of_owner,deed_type_cd,deed_type,deed_type_cd
CFK_chg_of_owner_prop_assoc_chg_of_owner_id,chg_of_owner_prop_assoc,chg_of_owner_id,chg_of_owner,chg_of_owner_id
CFK_chg_of_owner_prop_assoc_prop_id,chg_of_owner_prop_assoc,prop_id,property,prop_id
CFK_code_list_item_list_id,code_list_item,list_id,code_list,list_id
CFK_coll_transaction_trans_group_id,coll_transaction,trans_group_id,trans_group,trans_group_id
CFK_coll_transaction_transaction_type,coll_transaction,transaction_type,transaction_type,transaction_type
CFK_coll_transaction_batch_id,coll_transaction,batch_id,batch,batch_id
CFK_collection_pursuit_status_collection_pursuit_type,collection_pursuit_status,pursuit_type_code,collection_pursuit_type,pursuit_type_code
CFK_collection_pursuit_type_collection_pursuit_category,collection_pursuit_type,pursuit_category_code,collection_pursuit_category,pursuit_category_code
CFK_collection_pursuit_type_property_type_collection_pursuit_type,collection_pursuit_type_property_type,pursuit_type_code,collection_pursuit_type,pursuit_type_code
CFK_collection_pursuit_type_property_type_property_type,collection_pursuit_type_property_type,prop_type_cd,property_type,prop_type_cd
CFK_collections_entity_cv_owner_id,collections_entity_cv,owner_id,collections_owner_cv,acct_id
CFK_comp_sales_corp_grid_options_lPropGridID,comp_sales_corp_grid_options,lPropGridID,comp_sales_property_grids,lPropGridID
CFK_comp_sales_display_grid_layout_lGridID,comp_sales_display_grid_layout,lGridID,comp_sales_display_grid,lGridID
CFK_comp_sales_display_grid_layout_lFieldID,comp_sales_display_grid_layout,lFieldID,comp_sales_display_grid_fields,lFieldID
CFK_comp_sales_property_lPropGridID,comp_sales_property,lPropGridID,comp_sales_property_grids,lPropGridID
CFK_comp_sales_property_adj_lPropGridID,comp_sales_property_adj,lPropGridID,comp_sales_property_grids,lPropGridID
CFK_comp_sales_property_adj_lAdjFieldID,comp_sales_property_adj,lAdjFieldID,comp_sales_display_grid_fields,lFieldID
CFK_comp_sales_property_grids_lGridID,comp_sales_property_grids,lGridID,comp_sales_display_grid,lGridID
CFK_comp_sales_property_grids_lGridIDCard,comp_sales_property_grids,lGridIDCard,comp_sales_display_grid,lGridID
CFK_comp_sales_temp_corp_grid_options_lTempPropGridID,comp_sales_temp_corp_grid_options,lTempPropGridID,comp_sales_temp_property_grids,lTempPropGridID
CFK_comp_sales_temp_property_lTempPropGridID,comp_sales_temp_property,lTempPropGridID,comp_sales_temp_property_grids,lTempPropGridID
